Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
OCORRÊNCIAS DE PORTE DE ENTORPECENTES;7;2;3;1;11;6;7;4;3;4;3;6;57;
OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES;46;34;22;35;41;45;46;28;39;27;29;30;422;
OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1);14;10;11;2;7;10;3;18;8;4;5;9;101;
OCORRÊNCIAS DE PORTE ILEGAL DE ARMA;9;5;9;6;12;12;11;6;2;7;2;4;85;
Nº DE ARMAS DE FOGO APREENDIDAS;15;22;21;15;16;19;21;14;6;17;49;11;226;
Nº DE FLAGRANTES LAVRADOS;114;113;146;112;120;119;110;119;89;141;126;118;1.427;
Nº DE INFRATORES APREENDIDOS EM FLAGRANTE;12;16;8;7;5;5;8;125;10;6;7;6;215;
Nº DE INFRATORES APREENDIDOS POR MANDADO;1;4;6;3;3;3;2;2;4;1;3;4;36;
Nº DE PESSOAS PRESAS EM FLAGRANTE;129;133;150;130;129;142;126;140;104;172;141;139;1.635;
Nº DE PESSOAS PRESAS POR MANDADO;51;82;103;47;76;73;76;166;83;91;221;172;1.241;
Nº DE PRISÕES EFETUADAS;165;202;231;164;199;188;189;183;170;232;202;290;2.415;
Nº DE VEÍCULOS RECUPERADOS;87;67;70;64;33;25;73;13;83;70;122;61;768;
TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS;410;369;456;341;385;349;354;439;354;378;336;406;4.577;
