Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
OCORRÊNCIAS DE PORTE DE ENTORPECENTES;1;3;5;1;1;0;0;2;0;0;1;3;17;
OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES;1;0;2;2;1;1;1;1;2;4;3;0;18;
OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1);0;1;1;0;1;0;0;0;0;1;0;0;4;
OCORRÊNCIAS DE PORTE ILEGAL DE ARMA;0;0;1;1;0;0;1;0;0;1;1;1;6;
Nº DE ARMAS DE FOGO APREENDIDAS;0;0;1;1;0;0;1;0;0;2;1;1;7;
Nº DE FLAGRANTES LAVRADOS;3;3;6;4;3;3;4;4;1;3;4;3;41;
Nº DE INFRATORES APREENDIDOS EM FLAGRANTE;0;0;0;0;1;0;0;0;0;0;0;0;1;
Nº DE INFRATORES APREENDIDOS POR MANDADO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE PESSOAS PRESAS EM FLAGRANTE;3;4;6;4;3;3;4;4;1;6;4;3;45;
Nº DE PESSOAS PRESAS POR MANDADO;4;3;3;7;6;2;4;4;2;3;7;1;46;
Nº DE PRISÕES EFETUADAS;7;6;9;11;9;5;8;8;3;6;11;4;87;
Nº DE VEÍCULOS RECUPERADOS;1;0;2;2;0;3;0;6;5;2;0;2;23;
TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS;14;14;21;16;15;23;9;11;13;27;19;18;200;
