Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
OCORRÊNCIAS DE PORTE DE ENTORPECENTES;209;223;243;168;221;241;219;280;260;195;170;207;2.636;
OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES;295;298;301;339;338;373;374;367;394;296;273;328;3.976;
OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1);51;45;51;36;47;60;56;87;53;47;26;54;613;
OCORRÊNCIAS DE PORTE ILEGAL DE ARMA;34;24;38;35;33;37;49;37;36;33;40;25;421;
Nº DE ARMAS DE FOGO APREENDIDAS;78;68;83;76;69;83;72;68;72;87;131;79;966;
Nº DE FLAGRANTES LAVRADOS;619;639;792;675;668;694;638;817;716;706;601;655;8.220;
Nº DE INFRATORES APREENDIDOS EM FLAGRANTE;76;67;90;74;69;61;97;175;51;80;74;81;995;
Nº DE INFRATORES APREENDIDOS POR MANDADO;21;22;44;26;28;33;27;21;18;22;27;41;330;
Nº DE PESSOAS PRESAS EM FLAGRANTE;699;755;876;762;748;816;716;887;778;772;666;756;9.231;
Nº DE PESSOAS PRESAS POR MANDADO;443;547;675;624;669;625;706;648;554;597;602;579;7.269;
Nº DE PRISÕES EFETUADAS;1.065;1.204;1.454;1.304;1.326;1.303;1.318;1.339;1.251;1.307;1.051;1.256;15.178;
Nº DE VEÍCULOS RECUPERADOS;258;222;240;246;175;174;177;220;295;218;300;262;2.787;
TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS;2.582;2.495;2.908;2.596;2.570;2.610;2.555;2.883;2.406;2.742;2.348;2.423;31.118;
