Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
OCORRÊNCIAS DE PORTE DE ENTORPECENTES;0;4;7;0;4;4;4;5;4;3;3;6;44;
OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES;36;37;38;26;38;37;50;40;40;36;30;28;436;
OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1);8;9;10;11;5;4;8;9;13;9;12;8;106;
OCORRÊNCIAS DE PORTE ILEGAL DE ARMA;7;6;13;4;5;9;6;12;8;9;14;8;101;
Nº DE ARMAS DE FOGO APREENDIDAS;18;14;18;8;17;14;15;24;18;23;17;23;209;
Nº DE FLAGRANTES LAVRADOS;137;138;158;112;106;120;110;125;125;107;145;128;1.511;
Nº DE INFRATORES APREENDIDOS EM FLAGRANTE;2;8;4;5;4;2;3;6;6;3;15;7;65;
Nº DE INFRATORES APREENDIDOS POR MANDADO;1;10;5;4;10;14;14;6;5;2;3;1;75;
Nº DE PESSOAS PRESAS EM FLAGRANTE;154;156;170;134;123;133;121;139;150;116;155;145;1.696;
Nº DE PESSOAS PRESAS POR MANDADO;50;57;40;45;40;55;76;85;64;63;41;47;663;
Nº DE PRISÕES EFETUADAS;187;198;196;157;144;175;185;210;189;170;169;172;2.152;
Nº DE VEÍCULOS RECUPERADOS;40;59;44;65;57;54;55;60;51;42;66;31;624;
TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS;482;370;531;449;362;400;330;485;354;324;406;296;4.789;
