Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
OCORRÊNCIAS DE PORTE DE ENTORPECENTES;232;251;280;292;265;305;222;307;277;284;241;252;3.208;
OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES;374;394;434;416;353;410;313;354;336;306;301;293;4.284;
OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1);56;47;39;48;45;45;45;56;56;50;51;43;581;
OCORRÊNCIAS DE PORTE ILEGAL DE ARMA;26;44;39;37;36;35;25;44;33;43;41;41;444;
Nº DE ARMAS DE FOGO APREENDIDAS;72;110;91;79;159;82;74;102;87;85;90;94;1.125;
Nº DE FLAGRANTES LAVRADOS;729;717;774;732;691;682;591;699;716;689;724;677;8.421;
Nº DE INFRATORES APREENDIDOS EM FLAGRANTE;80;87;90;99;76;80;74;87;69;62;99;88;991;
Nº DE INFRATORES APREENDIDOS POR MANDADO;18;59;33;37;24;34;34;28;27;27;24;23;368;
Nº DE PESSOAS PRESAS EM FLAGRANTE;846;838;878;854;788;776;688;794;825;765;785;753;9.590;
Nº DE PESSOAS PRESAS POR MANDADO;412;528;486;460;472;569;573;610;484;454;477;431;5.956;
Nº DE PRISÕES EFETUADAS;1.153;1.250;1.286;1.196;1.167;1.259;1.169;1.274;1.206;1.133;1.183;1.110;14.386;
Nº DE VEÍCULOS RECUPERADOS;221;219;200;232;190;178;184;184;189;184;224;235;2.440;
TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS;2.590;2.473;2.995;2.738;2.590;2.698;2.506;2.914;2.757;2.695;2.607;2.755;32.318;
